Nozzle spacing,Boom height,Operating pressure,Nozzle type,CV
20,24,40,TTI11004,6.473708744
20,24,40,TTI11004,5.640621294
20,24,40,TTI11004,5.401691496
20,30,40,TTI11004,5.554124037
20,30,40,TTI11004,6.267637681
20,30,40,TTI11004,5.145488762
30,24,40,TTI11004,8.874272654
30,24,40,TTI11004,8.616892829
30,24,40,TTI11004,7.251862618
30,30,40,TTI11004,11.1152847
30,30,40,TTI11004,9.249794442
30,30,40,TTI11004,6.799846495
20,24,20,TTI11004,5.451171878
20,24,20,TTI11004,8.030175533
20,24,20,TTI11004,7.798297094
20,30,20,TTI11004,8.782172939
20,30,20,TTI11004,8.613254539
20,30,20,TTI11004,8.396323974
30,24,20,TTI11004,20.56323824
30,24,20,TTI11004,22.90943594
30,24,20,TTI11004,21.37738045
30,30,20,TTI11004,27.34445899
30,30,20,TTI11004,28.4826294
30,30,20,TTI11004,30.40075398
20,24,40,TDXL11004-D,16.10857324
20,24,40,TDXL11004-D,18.14755928
20,24,40,TDXL11004-D,16.97465252
20,30,40,TDXL11004-D,9.390034814
20,30,40,TDXL11004-D,8.102627429
20,30,40,TDXL11004-D,13.95939214
30,24,40,TDXL11004-D,21.64498549
30,24,40,TDXL11004-D,21.52839058
30,24,40,TDXL11004-D,25.31856503
30,30,40,TDXL11004-D,24.02896603
30,30,40,TDXL11004-D,21.89520927
30,30,40,TDXL11004-D,22.65234755
20,24,20,TDXL11004-D,29.54125416
20,24,20,TDXL11004-D,28.22435059
20,24,20,TDXL11004-D,26.52481061
20,30,20,TDXL11004-D,28.6720252
20,30,20,TDXL11004-D,25.93428423
20,30,20,TDXL11004-D,21.14644752
30,24,20,TDXL11004-D,36.51672276
30,24,20,TDXL11004-D,39.3501247
30,24,20,TDXL11004-D,35.21770389
30,30,20,TDXL11004-D,22.80777369
30,30,20,TDXL11004-D,23.64027426
30,30,20,TDXL11004-D,22.44328884
20,24,40,ULD 120-04,6.096903009
20,24,40,ULD 120-04,6.600298202
20,24,40,ULD 120-04,6.451837221
20,30,40,ULD 120-04,5.80633245
20,30,40,ULD 120-04,5.479506471
20,30,40,ULD 120-04,6.656879871
30,24,40,ULD 120-04,12.30382557
30,24,40,ULD 120-04,14.59144657
30,24,40,ULD 120-04,11.40643514
30,30,40,ULD 120-04,10.63315983
30,30,40,ULD 120-04,8.164485086
30,30,40,ULD 120-04,8.307765056
20,24,20,ULD 120-04,13.01628295
20,24,20,ULD 120-04,13.94359285
20,24,20,ULD 120-04,12.09652875
20,30,20,ULD 120-04,14.38048681
20,30,20,ULD 120-04,13.87542884
20,30,20,ULD 120-04,11.31553588
30,24,20,ULD 120-04,34.57407442
30,24,20,ULD 120-04,32.55274271
30,24,20,ULD 120-04,33.44639425
30,30,20,ULD 120-04,15.08859114
30,30,20,ULD 120-04,18.55167777
30,30,20,ULD 120-04,17.01727198
