nozzle spacing,boom height,pressure,nozzle,cv
20,24,40,TTI11004,7.901815354
20,24,40,TTI11004,5.685438043
20,24,40,TTI11004,6.663833344
20,30,40,TTI11004,6.252812249
20,30,40,TTI11004,8.314723947
20,30,40,TTI11004,7.496065944
30,24,40,TTI11004,5.026049668
30,24,40,TTI11004,8.982522452
30,24,40,TTI11004,10.17644931
30,30,40,TTI11004,9.378169306
30,30,40,TTI11004,11.085316
30,30,40,TTI11004,10.74011637
20,24,20,TTI11004,9.735835307
20,24,20,TTI11004,13.3911756
20,24,20,TTI11004,11.93421516
20,30,20,TTI11004,15.93640082
20,30,20,TTI11004,12.16843026
20,30,20,TTI11004,18.63503618
30,24,20,TTI11004,26.96270851
30,24,20,TTI11004,24.51123067
30,24,20,TTI11004,30.72205422
30,30,20,TTI11004,22.454922
30,30,20,TTI11004,19.22472737
30,30,20,TTI11004,22.61446507
20,24,40,TDXL11004-D,20.20776597
20,24,40,TDXL11004-D,13.5030496
20,24,40,TDXL11004-D,17.27507946
20,30,40,TDXL11004-D,27.04908815
20,30,40,TDXL11004-D,25.63306866
20,30,40,TDXL11004-D,25.75198721
30,24,40,TDXL11004-D,37.99195392
30,24,40,TDXL11004-D,32.28192294
30,24,40,TDXL11004-D,31.17626151
30,30,40,TDXL11004-D,24.31044823
30,30,40,TDXL11004-D,21.36778291
30,30,40,TDXL11004-D,24.1496525
20,24,20,TDXL11004-D,38.17966415
20,24,20,TDXL11004-D,38.22560981
20,24,20,TDXL11004-D,34.1997189
20,30,20,TDXL11004-D,28.03475825
20,30,20,TDXL11004-D,24.28147651
20,30,20,TDXL11004-D,22.739326
30,24,20,TDXL11004-D,32.72925363
30,24,20,TDXL11004-D,33.74602967
30,24,20,TDXL11004-D,27.66629047
30,30,20,TDXL11004-D,55.53124526
30,30,20,TDXL11004-D,58.33273463
30,30,20,TDXL11004-D,59.79460628
20,24,40,ULD 120-04,7.55105844
20,24,40,ULD 120-04,6.893803888
20,24,40,ULD 120-04,10.89155418
20,30,40,ULD 120-04,9.433261731
20,30,40,ULD 120-04,8.697748974
20,30,40,ULD 120-04,9.423901462
30,24,40,ULD 120-04,10.15565473
30,24,40,ULD 120-04,9.869145111
30,24,40,ULD 120-04,10.46776098
30,30,40,ULD 120-04,14.23097866
30,30,40,ULD 120-04,13.34882007
30,30,40,ULD 120-04,11.73268341
20,24,20,ULD 120-04,14.54146194
20,24,20,ULD 120-04,12.06918476
20,24,20,ULD 120-04,10.88944497
20,30,20,ULD 120-04,16.24235143
20,30,20,ULD 120-04,6.823582235
20,30,20,ULD 120-04,8.268052465
30,24,20,ULD 120-04,16.83452517
30,24,20,ULD 120-04,13.12296661
30,24,20,ULD 120-04,13.11440533
30,30,20,ULD 120-04,10.29742819
30,30,20,ULD 120-04,11.4929748
30,30,20,ULD 120-04,11.45227839
